% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.5                                               0.0744933903711646                                0.0744933903711646                                0.9999999999999993
1.5                                               0.08198125894004728                               0.08198125894004729                               1.0000000000000016
1.5                                               0.08455975262351714                               0.08455975262351714                               1.0000000000000002
1.5                                               0.08574974077702736                               0.08574974077702736                               1.0000000000000009
1.5                                               0.08909129902023667                               0.08909129902023667                               1.0000000000000016
1.52                                              0.07491198690525455                               0.07491198690525455                               1.0000000000000004
1.52                                              0.08236845055619582                               0.08236845055619582                               0.9999999999999993
1.52                                              0.08456112103813122                               0.08456112103813122                               0.9999999999999987
1.52                                              0.08575875945505518                               0.08575875945505518                               0.9999999999999999
1.52                                              0.08908861517478744                               0.08908861517478744                               1.0000000000000013
1.54                                              0.07532273799235943                               0.07532273799235945                               0.9999999999999998
1.54                                              0.08274664357887077                               0.08274664357887077                               1.0000000000000004
1.54                                              0.08456258205469765                               0.08456258205469765                               0.9999999999999998
1.54                                              0.08576986886734171                               0.08576986886734171                               0.9999999999999994
1.54                                              0.08908875848097259                               0.0890887584809726                                1.0000000000000004
1.56                                              0.07572595789453394                               0.07572595789453396                               0.9999999999999974
1.56                                              0.08311532555419313                               0.08311532555419313                               1.0000000000000042
1.56                                              0.08456414768356911                               0.08456414768356911                               1.000000000000001
1.56                                              0.08578385320552115                               0.08578385320552115                               0.9999999999999976
1.56                                              0.08909179113681945                               0.08909179113681946                               1.0000000000000007
1.58                                              0.07612177634077973                               0.07612177634077973                               0.999999999999998
1.58                                              0.08347331803638935                               0.08347331803638935                               0.9999999999999971
1.58                                              0.08347339493001105                               0.08347339493001105                               1.0000000000000007
1.58                                              0.0845658265999246                                0.0845658265999246                                1
1.58                                              0.08580191181369243                               0.08580191181369243                               1.0000000000000002
1.6                                               0.07651003763007905                               0.07651003763007905                               0.9999999999999994
